____,____,____,____,___,__,___,__,____,_____(Y/N),_______,_____(Y/N),________,______,______,_______,_______,____,_____,_____,IVP____,IVD____,____
LTRIL,Oxcarbazepine,Trileptal 60mg/mL_ 100mL oral suspension,CNEU,Monotherapy & adjuvant treatment of partial seizures in adult. Adjuvant treatment of partial seizure in children over 1 month old.,Hypersensitivity to oxcarbazepine_ any component of the product_ or eslicarbazepine acetate.,Somnolence_ headache_ dizziness; diplopia; vomiting_ nausea; fatigue. Hyponatremia; agitation_ affect lability_ confusional state_ depression_ apathy; ataxia_ tremor_ nystagmus_ disturbance in attention_ amnesia; blurred vision_ visual disturbance; vertigo; diarrhea_ abdominal pain_ constipation; rash_ alopecia_ acne; asthenia. Children 1 mth to <4 yr: Ataxia_ irritability_ vomiting_ lethargy_ fatigue_ nystagmus_ tremor_ decreased appetite & increased blood uric acid.,30___,Adult & elderly Mono or combine therapy: 600 mg/day (8-10 mg/kg/day) in 2 divided doses. Maintenance: 600 mg/day & 2400 mg/day. May be increased by a maximum of 600 mg/day increments at approximate weekly intervals. Maximum: 2400 mg/day over 48 hr in a controlled hospital setting. -Childn Mono-& adjunctive therapy: 8-10 mg/kg/day in 2 divided doses. Maintenance: 31-60 mg/kg/day for adjunctive therapy. May be increased by a maximum of 10 mg/kg/day increments at approximate weekly intervals from starting dose to maximum daily dose of 60 mg/kg/day. -Renal impairment CrCl <30 mL/min Start at 300 mg/day & increase slowly to achieve the desired clinical response.,______,,_____,____,No (limited) human data – animal data suggest risk,[__] ____________________________ Oxcarbazepine _________________________________________(_______)________________ ___________ oxcarbazepine ____________ oxcarbazepine _________________________________ ______ Trileptal ______________________ Trileptal ______________________________________________________________________ Trileptal _____________________________________________________ ____________________________________ ______________________________________________________________________________________________________________K1________ _______________________ oxcarbazepine ________________________ oxcarbazepine ___________________________________________________________/_______/_____________,No (Limited) Human Data - Probably Compatible _(__)__ - ___,[__] Oxcarbazepine ________MHD____________ _________________ MHD _________ MHD _____5%______________________ _____________________________ oxcarbazepine _________ _____________________________,AC;AC15;PC;PO;WM;,,,,,
HCVDA10,Harvoni +/- Ribavirin (1_4_5_6/12_),HCVDAA0010(C__________) 1_4_5_6/12_,QANB,,,,,,,,,,,,,,,,,,,
HCVDA11,Sovaldi + Ribavirin (2/12_),HCVDAA0011(C__________) 2/12_,QANB,,,,,,,,,,,,,,,,,,,
EALM,Antazoline + Tetrahydrozoline + Chlorhexidine,Alminto eye drops 10mL,TOPH,Irritant conjunctivitis_ allergic inflammatory conditions of the conjunctiva_ particularly hay fever conjunctivitis & vernal conjunctivitis.,Narrow-angle glaucoma.,Mild burning sensation; Blurred vision,25_______,instill 1-2 drops 3 to 4 times daily into the eye.,______,,______,____,Uknown ____,TETRAHYDROZOLINE OPHTHALMIC Sympathomimetic (_-adrenergic) PREGNANCY RECOMMENDATION: No Human Data—Probably Compatible CHLORHEXIDINE Anti-infective PREGNANCY RECOMMENDATION: Compatible,Unknown ____,TETRAHYDROZOLINE OPHTHALMIC Sympathomimetic (_-adrenergic) BREASTFEEDING RECOMMENDATION: No Human Data—Probably Compatible CHLORHEXIDINE Anti-infective BREASTFEEDING RECOMMENDATION: No Human Data—Probably Compatible,OD;OL;OU;,,,,,
ODOM,Domperidone,Domper 10mg,ALIM,Nausea and vomiting or GI motility disorder,Hypersensitivity to domperidone or any component of the formulation; prolactin-releasing pituitary tumor (prolactinoma); known existing prolongation of cardiac conduction intervals_ particularly QT; significant electrolyte disturbances; underlying cardiac disease (eg_ heart failure); moderate or severe hepatic impairment; patients with GI hemorrhage_ mechanical obstruction_ or perforation; concomitant use with potent CYP3A4 inhibitors such as azole antifungals (eg_ ketoconazole)_ macrolides (eg_ erythromycin)_ protease inhibitors_ or nefazodone; concomitant use with QT-prolonging drugs,1% to 10%: Central nervous system: Headache_ migraine Gastrointestinal: Xerostomia <1%_ postmarketing_ and/or case reports: Abdominal cramps_ acid regurgitation_ change in appetite_ conjunctivitis_ constipation_ diarrhea_ dizziness_ dysuria_ edema_ extrapyramidal reaction (rare)_ galactorrhea_ gynecomastia_ heartburn_ hot flash_ increased serum ALT_ increased serum AST_ increased serum cholesterol_ increased serum prolactin_ increased thirst_ insomnia_ irritability_ leg cramps_ lethargy_ mastalgia_ menstrual disease_ nausea_ nervousness_ palpitations_ pruritus_ skin rash_ stomatitis_ torsades de pointes_ urinary frequency_ urticaria_ weakness,25_____,Adult & children > 12 years with > 35kg: 10mg each time_ up to 3 times a day; Children < 12 years or > 12 years with < 35kg: 0.25mg/kg each time_ up to 3 times a day.,_____,Moderate to severe: Contraindicated.,_____,____,Uknown ____,[__] ______Domperidone______________________________________________________ _________Domperidone_______________,Unknown ____,[__] ______________________Domperidone__________10-50%________10ng/mL___________Domperidone________________7ug_____________ ______Domperidone________,AC;AC15;PC;PO;WM;,,,,,
ICER,HPV type16/18 L1 protein,__Cervarix (gsk) 0.5mL/dose,HIMM,Prevention of cervical cancer in females 10-25 years_ by protecting against incident & persistent infections_ cytological abnormalities including atypical squamous cells of undetermined significance (ASC-US) & cervical intraepithelial neoplasia (CIN)_ CIN1 & pre-cancerous lesions (CIN2 & CIN3) caused by HPV Types 16 & 18.,Subjects with known hypersensitivity to any component of Cervarix.,Headache_ GI disturbances_ itch_ rash_ myalgia_ arthralgia_ inj site reactions_ fatigue_ fever.,2-8_______,IM_ 0.5mL_ > or = 15 years 3 doses at 0_ 1_ and 6 months. 9-14 years can take 3 doses at 0_ 1_ and 6 months or 2 doses at 0 and 6-12 months.,______,There are no dosage adjustments provided in the manufacturer's labeling.,______,____,No (limited) human data – probably compatible,[__]___________________ ___________________________,No (Limited) Human Data - Probably Compatible _(__)__ - ___,[__]_______________________ ______________________,IM;,,,,,1. __________ 2. ____________________
IGAR,HPV type 6/11/16/18 L1 protein,Gardasil inj 0.5mL/dose (__),HIMM,,___: Prevention of cervical cancer_ genital warts & precancerous or dysplastic lesions eg_ cervical adenocarcinoma in situ_ cervical intraepithelial neoplasia (CIN) grades 2 & 3_ vulvar intraepithelial neoplasia (VIN) grades 2 & 3_ vag intraepithelial neoplasia grades 2 & 3 (VaIN)_ cervical intraepithelial neoplasia grade 1 in girls & women 9-26 yr. ___: Injection site reactions_ fever_ nausea_ dizziness. __: Hypersensitivity.,,2-8_,0.5 mL IM in the deltoid region of the upper arm or in the higher anterolateral area of the thigh_ according to the following schedule: 1st dose: At elected date; 2nd dose: 2 month after the 1st dose; 3rd dose: 6 month after the 1st dose. Girls between the ages of 9 and 13 can also take two doses of vaccination_ the second dose should be given 6 to 12 months after the first dose.,______,There are no dosage adjustments provided in the manufacturer's labeling.,______,____,No (limited) human data – probably compatible,,Compatible ______,,IM;,,,,,1. _____________________ 2. Gardasil ____________________________________
IGAR9,HPV type 6/11/16/18/31/33/45/52/58 L1 protein,(__) Gardasil 9 inj 0.5mL/dose,HIMM,GARDASIL 9 is indicated for individuals aged 9 to 45 years to induce an active immune response for the prevention of the following conditions caused by human papillomavirus (HPV): - Cancers of the cervix_ vulva_ vagina_ anus_ oropharynx_ and other head and neck sites caused by HPV types 16_ 18_ 31_ 33_ 45_ 52_ and 58. - Precancerous lesions of the cervix_ vulva_ vagina_ and anus caused by HPV types 6_ 11_ 16_ 18_ 31_ 33_ 45_ 52_ and 58. - Genital warts (condyloma acuminata) caused by HPV types 6 and 11.,Hypersensitivity reactions following a dose of human papillomavirus recombinant vaccine quadrivalent (Types 6_ 11_ 16_ 18) or human papillomavirus 9-valent vaccine_ recombinant. Severe allergic reactions to yeast.,Common: Erythema at injection site (Boys_ 24.9%; girls and women_ 34-42.3%; boys and men_ 20.7%)_ Injection site pain (Boys_ 71.5%; girls and women_ 89.3-90.3%; boys and men_ 63.4%)_ Swelling at injection site (Boys_ 26.9%; girls and women_ 40-49%; boys and men_ 20.2%)_ Headache (7.3-14.6%). . Serious: Syncope (0.2%),2-8___,Intramuscular injection only_ dosage: 0.5 mL per dose_ in the deltoid region of the upper arm or in the higher anterolateral area of the thigh. - Ages 9 to 14: 2 doses at 0 and 6-12 months* - Ages 9 to 14: 3 doses at 0_ 2_ and 6 months - Ages 15 to 45: 3 doses at 0_ 2_ and 6 months *If the second dose is administered less than 5 months after the first_ a third dose is needed at least 4 months after the second.,______,There are no dosage adjustments provided in the manufacturer's labeling.,______,____,Uknown ____,Vaccine_ Human Papillomavirus Quadrivalent_ Recombinant: Limited Human Data—Probably Compatible [__] ____________________ GARDASIL 9 ________________________ GARDASIL 9 _________________________ ______ ___________ GARDASIL 9__________________________________________ ____________ GARDASIL 9 ____________,Unknown ____,Vaccine_ Human Papillomavirus Quadrivalent_ Recombinant: Compatible [__] ___________ GARDASIL 9 ______________/________ ___________________ GARDASIL 9 ________ GARDASIL 9 ________________________________ __________________________________,IM;,,,,,1. _____________________ 2. Gardasil 9 ____________________________________
IGAR9S,HPV type 6/11/16/18/31/33/45/52/58 L1 protein,(__) Gardasil (______) 9 inj 0.5mL/dose,HIMM,,,,,,,,,,,,,,IM;,,,,,
IPED0,DTaP-IPV-HIB,Infanrix (________) 0.5mL/dose,HIMM,Active immunization for infants and young children aged 2 months and older against diphtheria_ tetanus_ pertussis_ poliomyelitis_ and Haemophilus influenzae type b (Hib). Children who have previously received the diphtheria_ tetanus_ pertussis (DTP)_ poliomyelitis_ and Hib vaccines can also use Infanrix-IPV+Hib as a booster dose. Infanrix-IPV+Hib does not prevent diseases caused by other types of Haemophilus influenzae or other pathogens that may cause meningitis.,Infanrix-IPV+Hib should not be used in individuals known to be allergic to any component of this vaccine_ or in those who have previously experienced an allergic reaction after receiving the diphtheria/tetanus/pertussis vaccine_ inactivated poliovirus vaccine_ or Hib vaccine. Infanrix-IPV+Hib is contraindicated in children who have experienced encephalopathy of unknown cause within 7 days of receiving a vaccine containing pertussis components.,Redness_ tenderness & swelling at inj site; fever_ crying_ drowsiness; decreased feeding_ vomiting_ irritability.,2-8_____,IM_ 0.5 mL_ 4 doses at 2_ 4_ 6 and 18 months. Where more rapid protection is preferred_ the first 3 doses may be administered at intervals of 4 weeks.,______,There are no dosage adjustments provided in the manufacturer’s labeling.,______,____,No (limited) human data – animal data suggest low risk,DPT-5 No human data - animal data suggest low risk. IPV-Compatible HIB-Compatible [__]________________________,No (Limited) Human Data - Probably Compatible _(__)__ - ___,DPT-3 No human Data- Probably Compatible IPV- No Human Data—Probably Compatible HIB-Compatible [__]________________________,IM;,,,,,1. _________ 2. ________________________ (____) __________________________
IMAXI,Cefepime,Maxipime inj 500mg,QANB,Treatment of resp tract & skin infections; UTI.,Hypersensitivity to cefepime_ other cephalosporins_ penicillins_ other beta-lactam antibiotics_ or any component of the formulation.,Anaphylaxis_ rash_ pruritus_ urticaria; diarrhea_ nausea_ vomiting_ oral moniliasis_ colitis_ (including pseudomembranous colitis)_ taste perversion_ constipation_ abdominal pain_ dyspepsia; vasodilation; dyspnea; headache_ dizziness_ paresthesia; fever_ vaginitis_ erythema_ genital pruritus_ chills & unspecified moniliasis. Local reactions eg phlebitis & inflammation at IV inj site & inflammation or pain at IM inj site; elevations in ALT_ AST_ alkaline phosphate_ total bilirubin_ eosinophilia_ anemia_ thrombocytopenia_ prolonged prothrombin time_ partial thromboplastin time & +ve Coombs' test w/o hemolysis; transient elevations of BUN &/or serum creatinine_ & thrombocytopenia.,30_____,Adults and children > 40 kg: 0.5-1 g IV/IM every 12 hours; 2 g IV q8-12h for serious infection. Children (2 months to 12 years) 50 mg/kg IV q8-12h; (1 month to 2 months) 30 mg/kg IV q8-12h. *****NEONATE ANTIBIOTICS DOSE***** Cefepime: mild to moderate infection: 30mg/kg Q12H Cefepime: pneumonia or meningitis (due to Pseudomonas aeruginosa or Enterobacter spp) Body weight <1kg ge<=7day 50mg/kg Q12H  Age 8-14 day 50mg/kg Q12H  Age 15-28 day 50 mg/kg Q8H Body weight 1-2kg ge<=7day 50mg/kg Q12H  Age 8-14 day 50 mg/kg Q8H  Age 15-28 day 50 mg/kg Q8H Body weight >2kg Age<=7ayd 50 mg/kg Q12H  Age 8-14 day 50 mg/kg Q8H  Age 15-28 day 50mg/kg Q8H,______,,_____,____,,,Compatible ______,,IM;IVD;IVP;IVPUSH;,IM: 1.3 mL D/W_ N/S_D5W_0.5% Lidocaine IV: 5mL D/W_ N/S_ D5W,_N/S___ __D5W___ _,______3 ~ 5__,___30______,1.__aminoglycoside___________ 2.__vancomycin__ 3._______(__24__; __7_) 4._______20.21_22__________________.
OCOP,Clopidogrel + Acetylsalicylic acid,CoPlavix 75/100mg,HEMT,Prevention of atherothrombotic events in adult patients already taking both clopidogrel + aspirin. Fixed-dose combination for continuation of therapy in: Non-ST-segment elevation acute coronary syndrome (unstable angina or non-Q-wave MI) including patients undergoing stent placement following percutaneous coronary intervention; ST-segment elevation acute MI in medically-treated patients eligible for thrombolytic therapy.,This medication contains two active ingredients; therefore_ CoPlavix is contraindicated in the following cases: ? Patients with hypersensitivity to the active ingredients or any excipients. ? Patients with severe hepatic impairment. ? Patients with active pathologic bleeding_ such as gastric ulcers or intracranial hemorrhage. Additionally_ due to the presence of ASA in this medication_ it is also contraindicated in the following situations: ? Patients with hypersensitivity to nonsteroidal anti-inflammatory drugs (NSAIDs) and those with asthma symptoms_ rhinitis_ or nasal polyps. ? Patients with mastocytosis_ as ASA may trigger severe allergic reactions (including circulatory shock_ accompanied by flushing_ hypotension_ tachycardia_ and vomiting). ? Patients with severe renal impairment (creatinine clearance CrCl <30 ml/min). ? Women in the third trimester of pregnancy.,Dyspepsia_ abdominal pain_ diarrhea; bleeding_ hematoma_ epistaxis; esophagitis_ esophageal ulceration_ perforation; fixed eruption.,25___,75mg/100mg QD.,_____,CoPlavix must not be used in patients with severe hepatic impairment. Experience is limited in patients with moderate hepatic disease who may have bleeding diatheses.,_____,____,No (limited) human data – probably compatible,ASPIRIN: Compatible (Low Dose); Human Data Suggest Risk in 1st and 3rd Trimesters (Full Dose) CLOPIDOGREL: Limited Human Data—Probably Compatible ____:___6_________3_____,No (Limited) Human Data - Potential Toxicity _(__)__ - ____,ASPIRIN: Limited Human Data—Potential Toxicity CLOPIDOGREL: No Human Data—Probably Compatible,PC;PO;,,,,,
