藥品代碼,藥品學名,藥品名稱,藥品分類,適應症,禁忌,副作用,儲存,用法用量,肝功能異常(Y/N),肝功能異常說明,腎功能異常(Y/N),懷孕用藥危險分級,孕期用藥建議,孕期附帶說明,哺乳期用藥建議,哺乳期附帶說明,給藥途徑,乾粉稀釋液,輸注點滴液,IVP用法建議,IVD用法建議,注意事項
IDIA,Diazepam,Diazepam(Dianlin) 針劑 10mg/2mL,CNEU,,適應症: Insomnia， anxiety， muscle spasm， status epilepticus. 副作用: Drowsiness & lightheadedness; confusion & ataxia; amnesia; dependence; paradoxical increase in aggression; muscle weakness; headache， vertigo， hypotension， salivation changes， GI disturbances， visual disturbances， dysarthria， tremor， changes in libido， incontinence， urinary retention; thrombophlebitis. Cardiovascular: Hypotension Dermatologic: Rash (3%， rectal gel ) Gastrointestinal: Diarrhea (4%， rectal gel ) Musculoskeletal: Muscle weakness Neurologic: Ataxia， Incoordination (3%， rectal gel )， Somnolence Psychiatric: Euphoria (3%， rectal gel ) Respiratory: Respiratory depression Other: Fatigue 禁忌: Respiratory depression; acute pulmonary insufficiency; sleep apnoea syndrome; severe hepatic impairment.,,室溫,Adult Acute anxiety 2-5 mg IV， repeated if necessary after 4 hr. The dosage may be increased to 5-10 mg in severe anxiety. Management of agitation associated with acute alcohol withdrawal Initially 10 mg IV， repeated if necessary after>= 4 hr. Pre-op sedation 10 mg IV 1-2 hr before surgery. Facilitation of labour 10-20 mg IM (or IV in extreme excitation) when cervix dilation is 2-5 cm. Painful musculoskeletal conditions & spasticity Initially 5-10 mg IV， repeated after 3-4 hr if necessary. Tetanus Up to 20 mg every 2-8 hr parenterally. Status epilepticus Initially 10-20 mg IV， in the following hr: 20 mg IM or by IV drip infusion,,,,盡量避免,,,No (Limited) Human Data - Potential Toxicity 無(很少)資料 - 避免使用,,IM;IV;IVD;,,,,,1. IM: inject deeply into muscle mass. 2. IV: inject slowly; do not administer faster than 5 mg/min. Do not use small veins for injection; if direct injection is not feasible， may inject through infusion tubing as close as possible to the vein insertion. 3. Do not mix or dilute with other solutions or drugs in syringe or infusion flask.
IFEN,Fentanyl,Fentanyl inj 0.5mg/10mL,CNEU,,適應症: Premed prior to surgery， Adjunct to general anesth induction， Adjunct to regional anesth， Post-operatively . 副作用: Respiratory depression， apnoea， muscle rigidity & bradycardia. 禁忌: Children <2 years， bronchial asthma， respiratory depression & head injury. Patients who received MAOIs within previous 14 days.,,25℃以下避光,Premed 50-100 mcg IM 30-60 mins prior to surgery. Adjunct to general anesth induction 50-100 mcg IV & repeated at 2-3 mins intervals until the desired effect is achieved. Adjunct to regional anesth 50-100 mcg IM or slow IV inj. Post-operatively 50-100 mcg IM repeated in 1-2 hr as needed. Induction & maintenance of anaesth Children 2-12 years 20-30 mcg/10 kg body wt.,無需調整劑量,,無需調整劑量,盡量避免,,,Compatible 哺乳時可使用,,,,,,,
IHAV7,Inactivated Hepatitis A Virus Vaccine,Havrix 720 (小兒A肝疫苗) 0.5mL/dose,HIMM,Active immunisation against infections caused by hepatitis A virus.,Hypersensitivity.,Inj site soreness， mild redness & swelling， headache， malaise， vomiting， fever， nausea & loss of appetite.,2-8℃,Children & adolescents 1-18 years Primary immunisation: A single IM dose. A booster dose at any time between 6 & 12 months after the single dose is recommended in order to ensure long-term protection.,無需調整劑量,[仿單]目前並無人類懷孕期間及授乳期間使用之適合資料，絕對需要時才給予。,無需調整劑量,除非治療上需要,No (limited) human data – probably compatible,[仿單]目前並無人類懷孕期間及授乳期間使用之適合資料，絕對需要時才給予。,No (Limited) Human Data - Probably Compatible 無(很少)資料 - 可使用,[仿單]目前並無人類懷孕期間及授乳期間使用之適合資料，絕對需要時才給予。,IM;,,,,,1. 肌肉注射於成人或孩童的三角肌部位，嬰兒則應注射於大腿前側部位。
IINT7,Eptifibatide,Integrilin inj 75mg/100mL,HEMT,,適應症: Unstable angina， Angioplasty 副作用: Bleeding， hypotension; localised Inj site reaction; thrombocytopaenia; back pain; anaphylaxis; GI， intracranial or pulmonary haemorrhage. Cardiovascular: Hypotension Hematologic: Bleeding， Minor (3 -12%) 禁忌: Active bleeding， increased risk of haemorrhage including hemorrhagic disorders， cerebrovascular disorders， history of stroke， uncontrolled hypertension， severe trauma， severe renal impairment， recent major surgery. Lactation.,,2-8 °C,IV Unstable angina 180 mcg/kg followed by 2 mcg/kg/min for up to 72 hr. If percutaneous coronary procedure is performed during therapy， continue infusion for 18-24 hr after procedure， up to a max total of 96 hr. Angioplasty Initial: 180 mcg/kg immediately pre-op， followed by 2 mcg/kg/min. A 2nd dose of 180 mcg/kg should be given 10 mins later. Continue infusion until discharge or up to 18-24 hr. Min treatment duration: 12 hr.,,,,可能安全,,,Hold Breast Feeding 暫停哺乳,,,,,,,
IIRI,Irinotecan,Irino IV infusion 100mg/5mL,RACA,Refractory colorectal malignancies ， 1st line treatment of metastatic colorectal cancer,Known hypersensitivity to irinotecan or any component of the formulation. Coadministraton with azole antifungals (ketoconazole， fluconazole， itraconazole); patients with hereditary fructose intolerance,Neutropenia， anemia， thrombocytopenia; acute diarrhoea， sweating， hypersalivation， abdominal cramps， lachrymation， miosis， weakness; nausea， vomiting， alopecia and skin reactions; cardiovascular toxicity. Potentially Fatal: Fatal sepsis due to myelosuppression; severe， chronic diarrhoea,25℃以下避光,Monotherapy (for previously treated patient): [Colorectal cancer， metastatic] 350 mg/m2 as a single agent infused over 90 minutes once every 3 weeks. [Gastric cancer， metastatic or locally advanced] 150 mg/m2 as a single agent infused over 30-90 minutes on days 1 and 15 of a 4-week treatment cycle. Combination therapy (for treatment naive patients):180 mg/m2 over 90 minutes on days 1， 15， and 29 in combination with infusional leucovorin and bolus/infusion fluorouracil (leucovorin administered immediately following irinotecan; fluorouracil immediately following leucovorin).,需調整劑量,,無需調整劑量,盡量避免,No (limited) human data – animal data suggest risk,,Contraindicated 哺乳期使用禁忌,,IVD;,,,,,1. 本品為化療藥物，輸注時需注意注射部位，防止藥液外滲。 2. 配製好的輸注溶液濃度在 0.12 - 2.8 mg/mL，室溫安定性維持 12 小時。 3. 監測CBC、肝功能。 4. 注意病人可能出現腹瀉的藥物副作用，尤其是65歲以上的老年人。 若病人注射Irinotecan後發生延遲性腹瀉，應盡快聯絡醫師，給予適當治療。
IFLU1,5-Fluorouracil,Fluorouracil inj 1000mg/20mL,RACA,,適應症: Palliative management of carcinoma of the colon， rectum， breast， stomach & pancreas. 副作用: Stomatitis， esophagopharyngitis， diarrhea， anorexia， nausea， vomiting， enteritis， cramps， abdominal pain & ulceration， glossitis， pharyngitis， leukopenia， alopecia， dermatitis， ocular irritation， central neurotoxicity (acute cerebellar syndrome)， myocardial ischemia & angina. 禁忌: Patients in a poor nutritional state; with depressed bone marrow function or potentially serious infections.,,室溫,IV inj Initial dosage 12 mg/kg once daily (to a max of 800 mg daily) for 4 days. If no toxicity is observed， this may be followed by 6 mg/kg on the 6th， 8th， 10th & 12th days， unless toxicity occurs. Poor risk patients or those in a poor nutritional state 6 mg/kg/day (to a max of 400 mg daily) for 3 days. If no toxicity is observed， 3 mg/kg is given on the 5th， 7th & 9th days， unless toxicity occurs. Maintenance therapy Repeat the dosage of the 1st course every 30 days after the last day of the previous course of treatment. Alternatively， administer a maintenance dose of 10-15 mg/kg/week (to a max of 1 g/week) as a single dose. IV infusion 15 mg/kg/day (to a max of 1 g daily) being infused in 500 mL of 5% dextrose or 0.9% NaCl over 4 hours & repeated on successive days until toxicity occurs or a total of 12-15 g has been given. Continuous infusion may also be used. The course may be repeated after 4-6 weeks.,,,,盡量避免,,,No (Limited) Human Data – Potential Toxicity(Mother) 無(很少)資料 – 避免使用(母體),,,,,,,1. 本品為化療藥物，輸注時需注意注射部位，防止藥液外滲。 2. 監測CBC、血糖變化 (DM病人)。
IKYT1,Granisetron,Kytron inj 1mg/1mL,CNEU,,適應症: Prevention or treatment of nausea & vomiting induced by cytostatic therapy & radiation. 副作用: Headache， constipation. Gastrointestinal: Constipation (5.4% ) 禁忌: Hypersensitivity to granisetron or related substances.,,,Prevention & treatment of nausea & vomiting due to cytostatic therapy & radiation Adult 3 mg either in 15 mL infusion fluid as IV bolus over not less than 30 seconds or diluted in 20-50 mL infusion fluid & administered over 5 mins. Max dose over 24 hr: 9 mg. Children 10-40 mcg/kg body weight (up to 3 mg) diluted in 10-30 mL infusion fluid & administered over 5 mins. Max dose: 1 additional dose of 40 mcg/kg (up to 3 mg) within 24 hr if necessary. Max: 9 mg/day. For prevention， administration should be completed prior to the start of cytostatic therapy and anesth induction.,,,,可能安全,,,No (Limited) Human Data - Probably Compatible 無(很少)資料 - 可使用,,IVP;IVPUSH;,,【D5W】可選 仿單建議。【N/S】可選 仿單建議。,推注時間至少 30秒,,
OPOLU,Propylthiouracil,Polupi 50mg (PTU),META,Adjunctive therapy in patients intolerant of methimazole to ameliorate hyperthyroidism symptoms in preparation for surgical treatment or radioactive iodine therapy; treatment of hyperthyroidism in patients intolerant of methimazole and not candidates for surgical/radiotherapy,Hypersensitivity to propylthiouracil or any component of the formulation,Cardiovascular: Periarteritis， vasculitis (ANCA-positive， cutaneous， leukocytoclastic) Central nervous system: Drowsiness， drug fever， fever， headache， neuritis， vertigo Dermatologic: Alopecia， erythema nodosum， exfoliative dermatitis， pruritus， skin pigmentation， skin rash， skin ulcers， urticaria Endocrine & metabolic: Goiter， weight gain Gastrointestinal: Constipation， loss of taste， nausea， sialoadenopathy， splenomegaly， stomach pain， taste perversion， vomiting Hematologic: Agranulocytosis， aplastic anemia， bleeding， granulopenia， hypoprothrombinemia， leukopenia， thrombocytopenia Hepatic: Acute liver failure， cholestatic jaundice， hepatitis Neuromuscular & skeletal: Arthralgia， myalgia， paresthesia Renal: Acute renal failure， glomerulonephritis， nephritis Respiratory: Alveolar hemorrhage， interstitial pneumonitis Miscellaneous: Lymphadenopathy， SLE-like syndrome,25℃以下避光,Adult initial 300 mg/day in 3-4 divided doses (severe condition 400-600 mg/day)， maintenance dose 50-100 mg/day. Children 10-14 years 200-300 mg/day， 5-9 years 100- 200 mg/day in 2-4 divided doses， maintenance dose 50-100 mg/day in 1-2 divided doses. Pregnancy initial 150-300 mg/day in 3-4 divided doses， maintenance dose 50-100 mg/day.,無需調整劑量,,無需調整劑量,盡量避免,Compatible – maternal benefit >> embryo-fetal risk,,Compatible 哺乳時可使用,,AC;AC15;PC;PO;WM;,,,,,
OCTC1,Levonorgestrel+Ethinyl Estradiol 0.15/0.03mg,家計1號口服避孕藥(28's),HM,,適應症: Oral Contraceptives 副作用: Breast tenderness， pain， secretion; headache; migraine; changes in libido; depressive moods; contact lens intolerance; nausea; vomiting; changes in vaginal secretion; various skin disorders; fluid retention; change in body weight; hypersensitivity reaction. Rarely， benign or malignant liver tumors which may lead to life-threatening intra-abdominal hemorrhage have been observed. 禁忌: Venous or arterial thromboembolic events including MI & CVA. Prodromi of thrombosis (transient ischemic attack， angina pectoris)， diabetes mellitus with vascular involvement. Severe or multiple risk factors for venous or arterial thrombosis. Severe hepatic disease， benign or malignant liver tumours. Malignant conditions of the genital organs or breasts， if sex steroid-influenced. Undiagnosed vag bleeding. Pregnancy.,,室溫,1 tab daily for 28 consecutive days. Levonorgestrel 0.15mg + Ethinyl estradiol 0.03mg x 21 顆、不含藥 x 7錠 (依包裝順序每日服用1顆),,,,不可使用,,,Compatible 哺乳時可使用,,,,,,,
EBAAG,Boric Acid + Alcohol Glycerin,BAAG soln 20mL,TENT,,適應症: Chronic otitis media， mastoidectomy.,,室溫,Apply topically as directed.,,,,沒有資料,,,Contraindicated 哺乳期使用禁忌,,,,,,,
EPRE1,Conjugated Estrogen,Premarin Vaginal Cream 14gm,SGU,Atrophic vaginitis. Post-menopausal atrophic urethritis.,Known or suspected breast cancer， estrogen-dependent neoplasia， active thromboembolic disease， undiagnosed abnormal genital bleeding. Pregnancy.,Rarely nausea， vomiting. Breakthrough bleeding， spotting， change in menstrual flow， amenorrhea. Breast tenderness， enlargement， secretion. GI effects， cholestatic jaundice. Chloasma or melasma. Steepening of the corneal curvature; intolerance to contact lenses. Headache， migraine， dizziness; chorea. Wt changes; edema; changes in libido. Cardiovascular: Edema， Vasodilatation (vaginal cream， 21 days on/7 off regimen， 3.5%; 2 times/wk regimen， 5% ) Dermatologic: Chloasma， Hirsutism， Injection site reaction， Pruritus (5% ) Endocrine metabolic: Weight change finding Gastrointestinal: Abdominal pain (vaginal cream， 21 days on/7 off regimen， 7.7%; 2 times/wk regimen， 6.4% )， Bloating symptom， Diarrhea (vaginal cream， 21 days on/7 off regimen， 2.8%; 2 times/wk regimen， 7.1% )， Flatulence (7% )， Nausea (oral， 9% ; vaginal cream， 21 days on/7 off regimen， 3.5%; 2 times/wk regimen， 2.1% )， Stomach cramps， Vomiting Musculoskeletal: Backache (vaginal cream， 21 days on/7 off regimen， 4.9%; 2 times/wk regimen， 9.3% )， Leg cramp Neurologic: Asthenia (vaginal cream， 21 days on/7 off regimen， 5.6%; 2 times/wk regimen， 1.4% )， Headache (vaginal cream， 21 days on/7 off regimen， 11.2%; 2 times/wk regimen， 17.9% )， Migraine Psychiatric: Depression， Disturbance in mood Reproductive: Disorder of menstruation， Pain of breast (oral， 12% ; vaginal cream， 21 days on/7 off regimen， 5.6%; 2 times/wk regimen， 2.9% )， Swelling of breast， Vaginitis (vaginal cream， 21 days on/7 off regimen， 5.6%; 2 times/wk regimen， 5% )， Withdrawal bleeding Respiratory: Increasing frequency of cough (vaginal cream， 21 days on/7 off regimen， 0%; 2 times/wk regimen， 5% )， Pharyngitis (vaginal cream， 21 days on/7 off regimen， 2.1%; 2 times/wk regimen， 5% ) Other: Accidental injury (vaginal cream， 21 days on/7 off regimen， 2.8%; 2 times/wk regimen， 6.4% )， Disorder of skin appendage (vaginal cream， 21 days on/7 off regimen， 8.4%; 2 times/wk regimen， 11.4% )， Infectious disease (vaginal cream， 21 days on/7 off regimen， 4.9%; 2 times/wk regimen， 11.4% )， Pain (vaginal cream， 21 days on/7 off regimen， 7%; 2 times/wk regimen， 2.9% ),20 -25℃,Intravaginally or topically， 0.5-2 g daily depending on severity of condition. the maximum dose: 4 g/day. Cyclic administration (3 weeks on and 1 week off) should be used.,無需調整劑量,,無需調整劑量,不可使用,Contraindicated,,No (Limited) Human Data - Probably Compatible 無(很少)資料 - 可使用,,EXT;VAG;,,,,,
EBUT,Butorphanol,Butaro Nasal Spray 10mg/mL,CNEU,Management of pain when the use of an opioid analgesic is appropriate.,Hypersensitivity to Butorphanol， benzenthonium chloride， or any component of the formulation.,Common: Nausea/vomiting， Dizziness (19-54%)， Insomnia (11%)， Sedated (30-40%)， Somnolence (43-88%)， Nasal congestion， Long-term use of intranasal product (13%) Serious: Respiratory depression,25℃以下儲存,Initially 1 mg (1 spray in 1 nostril); if adequate pain relief is not achieved within 60-90 mins， an additional 1 mg dose may be given; may repeat initial dose sequence in 3-4 hr as required after the 2nd dose of the sequence. Alternatively， an initial dose of 2 mg (1 spray in each nostril) may be used in patients who will be able to remain recumbent in the event drowsiness or dizziness occurs; additional 2 mg doses should not be given for 3-4 hr.,需調整劑量,[仿單] 使用butorphanol tartrate後在母乳中可檢測出butorphanol。 新生兒所接受的量在臨床上並不顯著 (推測為4μg/L milk，其母親接受肌肉注射2mg，一日四次)。 雖然沒有關於哺乳母親使用butorphanol NS的臨床報告，但是可預測的是， butorphanol應會以近乎相同的量排至母乳中。,需調整劑量,沒有資料,Human data suggest risk in 3 rd trimester,[仿單] 在老鼠及兔子的器官生成期生殖實驗顯示，butorphanol並無致畸胎的可能性。 然而，對懷孕大鼠施予皮下注射1mg/kg(5.9 mg/m2) butorphanol會造成較高的死產率。 經口給與30mg/kg(360 mg/m2)及60mg/kg(720 mg/m2)的butorphanol會使得兔子有較高的著床後損傷率。 目前對於butorphanol tartrate 使用於懷孕37周前的婦女並無明確的研究。 因此唯有當用藥好處多於新生兒可能發生之潛在風險之時才可施予。,No (Limited) Human Data - Probably Compatible 無(很少)資料 - 可使用,[仿單] 使用butorphanol tartrate後在母乳中可檢測出butorphanol。 新生兒所接受的量在臨床上並不顯著 (推測為4μg/L milk，其母親接受肌肉注射2mg，一日四次)。 雖然沒有關於哺乳母親使用butorphanol NS的臨床報告，但是可預測的是， butorphanol應會以近乎相同的量排至母乳中。,IN;,,,,,
